Id,Age,Income,Home,Emp_length,Intent,Amount,Rate,Status,Percent_income,PREVIOUS LOANS,Cred_length,DATE
249,23,14400,OWN,2,HOMEIMPROVEMENT,4000,16.7,1,28.00%,N,2,11-05-2024
250,22,14400,OWN,0,PERSONAL,2100,11.14,0,15.00%,N,4,29-10-2023
251,22,84500,RENT,6,PERSONAL,25000,18.3,0,30.00%,N,4,30-06-2023
252,24,85000,RENT,5,MEDICAL,25000,10.62,0,29.00%,N,4,29-08-2024
253,24,180000,MORTGAGE,7,VENTURE,14000,11.99,0,8.00%,N,2,30-11-2024
254,26,180000,MORTGAGE,2,VENTURE,12000,9.63,0,7.00%,N,4,19-09-2025
255,25,142800,MORTGAGE,9,MEDICAL,10000,18.25,1,6.00%,N,4,10-07-2023
256,23,14664,MORTGAGE,0,DEBTCONSOLIDATION,6000,,1,41.00%,N,4,10-09-2023
257,24,87000,RENT,8,HOMEIMPROVEMENT,25000,14.84,0,29.00%,N,3,07-09-2025
258,24,75000,RENT,0,VENTURE,25000,14.7,1,33.00%,Y,3,16-07-2025
259,23,76000,RENT,7,DEBTCONSOLIDATION,25000,16.02,1,33.00%,N,4,08-05-2023
260,23,66215,RENT,1,MEDICAL,25000,15.37,1,32.00%,Y,2,18-01-2023
261,25,90000,RENT,9,MEDICAL,25000,10.99,0,28.00%,N,4,19-07-2024
262,21,15000,OWN,0,HOMEIMPROVEMENT,6200,7.9,1,41.00%,N,2,23-07-2024
263,26,180000,OWN,2,PERSONAL,25000,10.99,0,14.00%,N,4,16-11-2024
264,24,180000,OWN,8,EDUCATION,21000,11.48,0,12.00%,N,3,17-09-2024
265,25,180000,OWN,9,MEDICAL,20000,14.26,0,11.00%,Y,4,03-05-2025
266,26,180000,OWN,0,HOMEIMPROVEMENT,10000,8,0,6.00%,N,4,19-08-2025
267,25,180000,MORTGAGE,3,VENTURE,9950,11.26,0,6.00%,N,2,04-06-2023
268,23,15000,OWN,7,MEDICAL,4475,,1,30.00%,N,4,04-05-2024
269,23,78000,RENT,2,VENTURE,25000,16.32,1,32.00%,Y,3,23-02-2025
270,25,66300,RENT,3,MEDICAL,25000,17.93,1,32.00%,Y,4,03-09-2023
271,23,90000,RENT,0,DEBTCONSOLIDATION,25000,11.36,0,28.00%,N,3,28-11-2025
272,24,79000,RENT,9,DEBTCONSOLIDATION,25000,14.96,1,32.00%,Y,4,28-01-2025
273,24,91800,RENT,4,PERSONAL,25000,13.43,0,27.00%,Y,3,21-06-2024
274,25,92000,RENT,6,HOMEIMPROVEMENT,25000,12.69,0,27.00%,N,3,09-07-2025
275,24,92000,RENT,1,VENTURE,25000,12.73,0,27.00%,Y,4,12-02-2024
276,23,93600,RENT,3,VENTURE,25000,15.21,0,27.00%,N,4,08-06-2024
277,23,15000,MORTGAGE,1,MEDICAL,1750,12.68,0,12.00%,Y,3,07-04-2025
278,23,70550,RENT,3,MEDICAL,25000,19.04,1,30.00%,Y,4,21-06-2025
279,25,83800,RENT,2,DEBTCONSOLIDATION,25000,15.95,1,30.00%,Y,3,05-02-2023
280,26,175000,MORTGAGE,3,VENTURE,2600,8.9,0,1.00%,N,4,15-11-2024
281,25,175000,MORTGAGE,10,HOMEIMPROVEMENT,8000,7.9,0,5.00%,N,2,20-01-2023
282,22,175000,MORTGAGE,6,EDUCATION,18000,,0,10.00%,N,2,17-11-2023
283,23,175000,MORTGAGE,8,PERSONAL,21000,11.99,0,12.00%,N,3,26-05-2024
284,23,15000,OWN,4,DEBTCONSOLIDATION,4000,13.98,1,27.00%,N,4,04-02-2024
285,23,15000,OWN,4,VENTURE,4600,10.99,1,31.00%,N,2,15-10-2024
286,22,88000,RENT,6,DEBTCONSOLIDATION,25000,15.58,1,28.00%,Y,2,29-08-2025
287,25,74800,RENT,2,MEDICAL,25000,10.99,1,28.00%,N,2,15-04-2024
288,25,88000,RENT,0,VENTURE,25000,14.96,1,28.00%,N,4,13-04-2025
289,25,15000,OWN,2,HOMEIMPROVEMENT,1750,15.31,0,12.00%,Y,4,27-12-2024
290,26,88000,RENT,2,VENTURE,25000,15.65,1,28.00%,N,3,03-05-2025
291,25,100000,RENT,1,VENTURE,25000,9.33,0,25.00%,N,4,20-02-2023
292,23,15000,MORTGAGE,0,PERSONAL,3600,13.47,1,24.00%,N,4,28-07-2024
293,24,102400,RENT,8,PERSONAL,25000,10.36,0,24.00%,N,3,30-05-2023
294,24,92000,RENT,1,HOMEIMPROVEMENT,25000,16.77,1,27.00%,Y,4,10-11-2023
295,23,93000,RENT,0,DEBTCONSOLIDATION,25000,14.59,1,27.00%,Y,2,23-07-2024
296,22,175000,RENT,6,VENTURE,3500,11.91,0,2.00%,Y,2,01-11-2023
297,23,175000,MORTGAGE,3,EDUCATION,7200,8.38,0,4.00%,N,3,12-11-2024
298,25,174708,RENT,9,VENTURE,9000,10.59,0,5.00%,N,3,17-04-2025
299,25,174000,MORTGAGE,2,DEBTCONSOLIDATION,8800,14.27,0,5.00%,N,3,13-12-2025
300,26,174000,RENT,8,DEBTCONSOLIDATION,12000,12.53,0,7.00%,N,4,29-09-2025
301,25,162000,MORTGAGE,5,DEBTCONSOLIDATION,25000,16,1,15.00%,Y,3,19-03-2024
302,26,173467,MORTGAGE,10,VENTURE,10000,11.71,0,6.00%,N,4,04-09-2024
303,21,15000,OWN,0,HOMEIMPROVEMENT,3175,11.54,1,21.00%,Y,3,19-09-2025
304,25,96000,RENT,2,HOMEIMPROVEMENT,25000,15.68,1,26.00%,Y,4,21-09-2023
305,21,15120,MORTGAGE,0,EDUCATION,1500,10.59,0,10.00%,N,2,12-12-2025
306,24,97908,RENT,8,HOMEIMPROVEMENT,25000,12.61,1,26.00%,Y,2,30-09-2025
307,26,110000,RENT,3,PERSONAL,25000,,0,23.00%,Y,2,05-01-2023
308,23,15204,MORTGAGE,7,PERSONAL,2800,8.49,1,18.00%,N,3,12-02-2025
309,25,159600,RENT,0,PERSONAL,30000,17.27,1,19.00%,Y,4,26-05-2025
310,24,171500,RENT,6,DEBTCONSOLIDATION,18000,8.9,0,10.00%,N,4,18-09-2025
311,25,170004,MORTGAGE,3,MEDICAL,10000,11.11,0,6.00%,N,4,02-06-2025
312,24,158004,RENT,0,HOMEIMPROVEMENT,25000,14.59,1,16.00%,Y,2,16-02-2023
313,26,170000,RENT,0,VENTURE,13000,12.42,0,8.00%,N,3,16-05-2025
314,24,83300,RENT,0,MEDICAL,25000,,1,26.00%,N,2,02-04-2025
315,24,110000,RENT,7,HOMEIMPROVEMENT,25000,15.7,0,23.00%,Y,2,24-07-2025
316,22,15360,OWN,7,HOMEIMPROVEMENT,2500,12.53,1,16.00%,N,3,17-10-2024
317,25,134300,RENT,3,MEDICAL,5000,16.49,1,3.00%,N,2,26-09-2023
318,25,170000,MORTGAGE,2,EDUCATION,20000,7.49,0,12.00%,N,2,05-01-2024
319,22,100580,RENT,6,DEBTCONSOLIDATION,25000,14.96,1,25.00%,Y,2,27-09-2024
320,25,113000,RENT,7,MEDICAL,25000,12.73,0,22.00%,Y,4,18-10-2024
321,24,120000,RENT,8,EDUCATION,25000,10.65,0,21.00%,N,4,30-04-2023
322,25,120000,RENT,6,MEDICAL,25000,10.74,0,21.00%,N,2,10-04-2025
323,23,120000,RENT,7,EDUCATION,25000,9.99,0,21.00%,N,2,17-12-2025
324,24,91800,RENT,5,MEDICAL,25000,15.33,1,23.00%,Y,2,10-01-2025
325,21,15600,OWN,5,VENTURE,1000,7.29,0,6.00%,N,4,27-04-2023
326,26,108000,RENT,2,PERSONAL,25000,15.05,1,23.00%,N,3,01-03-2025
327,26,129996,RENT,6,PERSONAL,25000,10.75,0,19.00%,N,3,09-10-2025
328,23,130000,RENT,4,EDUCATION,25000,16.02,0,19.00%,Y,2,17-12-2025
329,23,130000,RENT,7,VENTURE,25000,11.49,0,19.00%,N,4,25-09-2024
330,25,170000,OWN,4,EDUCATION,20000,12.53,0,12.00%,N,4,27-05-2024
331,26,170000,MORTGAGE,0,VENTURE,12000,13.57,0,7.00%,Y,2,12-03-2025
332,22,169000,RENT,1,PERSONAL,14000,11.14,0,8.00%,N,3,13-07-2024
333,26,168750,RENT,10,MEDICAL,24250,12.87,0,14.00%,Y,3,02-05-2024
334,23,168600,RENT,3,EDUCATION,20000,11.58,0,12.00%,N,3,15-06-2025
335,24,168288,RENT,5,HOMEIMPROVEMENT,1800,11.12,0,1.00%,N,3,04-12-2024
336,25,168000,MORTGAGE,2,PERSONAL,35000,10.65,0,21.00%,N,2,03-08-2024
337,24,133300,RENT,6,DEBTCONSOLIDATION,25000,10.37,0,19.00%,N,2,28-02-2025
338,24,15600,OWN,5,HOMEIMPROVEMENT,3300,6.39,1,21.00%,N,4,10-05-2025
339,24,134000,RENT,8,PERSONAL,25000,16.07,0,19.00%,Y,3,04-09-2023
340,25,134000,RENT,7,MEDICAL,25000,10.62,0,19.00%,N,2,03-06-2023
341,25,15600,OWN,0,VENTURE,3200,18.09,1,21.00%,N,2,23-09-2025
342,25,135000,RENT,5,EDUCATION,25000,11.36,0,19.00%,N,4,27-11-2024
343,26,135660,RENT,10,DEBTCONSOLIDATION,25000,12.53,0,18.00%,N,4,28-12-2025
344,25,145000,RENT,0,EDUCATION,25000,9.99,0,17.00%,N,4,06-12-2025
345,23,150000,RENT,4,EDUCATION,25000,10.36,0,17.00%,N,3,05-10-2025
346,23,165000,MORTGAGE,3,EDUCATION,9600,5.99,0,6.00%,N,3,04-04-2023
347,22,153000,MORTGAGE,5,DEBTCONSOLIDATION,24000,15.62,1,16.00%,Y,2,15-08-2025
348,24,165000,MORTGAGE,5,PERSONAL,20000,10.37,0,12.00%,N,4,08-10-2025
349,25,165000,MORTGAGE,0,HOMEIMPROVEMENT,25000,19.74,0,15.00%,N,4,28-03-2024
350,21,165000,MORTGAGE,5,EDUCATION,20000,6.91,0,12.00%,N,4,30-06-2025
351,23,16000,OWN,7,MEDICAL,6000,7.9,1,38.00%,N,2,06-08-2023
352,23,16000,MORTGAGE,3,DEBTCONSOLIDATION,2275,13.06,0,14.00%,Y,4,18-04-2024
353,23,16000,OWN,7,PERSONAL,2000,6.39,0,13.00%,N,3,07-03-2024
354,23,148000,RENT,1,DEBTCONSOLIDATION,25000,14.93,1,17.00%,N,3,07-12-2023
355,23,16000,MORTGAGE,1,MEDICAL,5600,12.84,1,35.00%,N,4,04-07-2024
356,24,16020,OWN,3,VENTURE,3625,17.14,1,23.00%,Y,2,23-12-2023
357,22,16094,MORTGAGE,2,VENTURE,5500,7.14,1,34.00%,N,3,23-01-2023
358,25,175000,RENT,2,PERSONAL,25000,8.9,0,14.00%,N,2,05-06-2024
359,22,16200,OWN,6,PERSONAL,2000,12.42,0,12.00%,N,3,12-03-2025
360,24,185000,RENT,7,HOMEIMPROVEMENT,25000,12.68,0,14.00%,Y,2,31-01-2025
361,25,162000,RENT,9,PERSONAL,25000,11.03,0,15.00%,N,2,17-03-2024
362,26,161000,RENT,10,VENTURE,30000,7.9,0,19.00%,N,4,07-02-2025
363,22,160000,MORTGAGE,0,MEDICAL,35000,10.65,0,22.00%,N,4,12-10-2025
364,25,225000,RENT,5,VENTURE,25000,11.86,0,11.00%,N,4,30-05-2024
365,25,16400,OWN,1,PERSONAL,5000,8.94,1,30.00%,N,4,05-11-2025
366,23,16500,OWN,6,VENTURE,4375,9.63,1,27.00%,N,4,02-03-2025
367,25,49500,RENT,6,PERSONAL,24750,14.22,1,50.00%,N,3,02-12-2023
368,23,60000,RENT,4,DEBTCONSOLIDATION,24750,9.33,1,41.00%,N,3,15-09-2023
369,24,84200,RENT,8,MEDICAL,24500,13.85,0,29.00%,N,4,11-05-2024
370,22,16800,MORTGAGE,5,EDUCATION,2000,10.65,0,12.00%,N,2,14-06-2025
371,24,92000,RENT,8,MEDICAL,24500,11.46,0,27.00%,N,4,09-06-2023
372,23,160000,MORTGAGE,5,PERSONAL,35000,7.66,0,22.00%,N,2,01-05-2025
373,24,160000,MORTGAGE,9,VENTURE,12000,16.77,0,7.00%,N,4,20-11-2024
374,25,160000,MORTGAGE,1,PERSONAL,12000,9.63,0,7.00%,N,4,15-01-2024
375,26,160000,RENT,6,PERSONAL,25000,12.23,0,16.00%,Y,4,14-08-2025
376,25,125800,MORTGAGE,0,MEDICAL,10000,14.09,1,7.00%,N,4,21-11-2024
377,25,54000,RENT,2,PERSONAL,24250,13.98,1,45.00%,N,4,02-12-2025
378,23,62500,RENT,1,EDUCATION,24250,10.62,1,39.00%,N,4,12-10-2023
379,24,16800,MORTGAGE,,DEBTCONSOLIDATION,3900,,1,23.00%,N,3,01-02-2024
380,25,68400,RENT,9,PERSONAL,24250,17.56,1,35.00%,N,4,12-01-2023
381,26,56045,RENT,1,MEDICAL,24250,14.96,1,37.00%,N,2,13-05-2024
382,22,74000,RENT,7,DEBTCONSOLIDATION,24250,15.65,1,33.00%,Y,2,23-01-2025
383,24,65453,RENT,9,MEDICAL,24250,15.7,1,31.00%,N,2,04-02-2023
384,24,89908,RENT,1,VENTURE,24250,12.53,0,27.00%,N,3,27-12-2024
385,26,78000,RENT,0,HOMEIMPROVEMENT,24250,17.56,1,31.00%,Y,3,28-04-2025
386,23,100000,RENT,0,PERSONAL,24250,12.87,0,24.00%,Y,2,31-03-2023
387,23,103000,RENT,6,PERSONAL,24250,15.7,0,24.00%,N,2,14-02-2025
388,25,160000,MORTGAGE,2,EDUCATION,9000,,0,6.00%,N,3,27-08-2024
389,25,160000,OWN,5,VENTURE,15000,11.14,0,9.00%,N,4,27-08-2025
390,24,160000,MORTGAGE,3,VENTURE,20000,16,0,13.00%,N,3,18-10-2025
391,23,160000,MORTGAGE,2,EDUCATION,25000,15.65,0,16.00%,Y,2,22-02-2024
392,26,160000,MORTGAGE,0,DEBTCONSOLIDATION,13750,,0,9.00%,N,4,25-04-2023
393,21,160000,MORTGAGE,3,VENTURE,15250,15.31,0,10.00%,Y,4,08-09-2024
394,25,160000,MORTGAGE,3,VENTURE,20000,13.47,0,13.00%,Y,2,05-04-2025
395,22,16800,MORTGAGE,0,HOMEIMPROVEMENT,4750,13.85,1,28.00%,Y,2,17-02-2024
396,25,111996,RENT,9,PERSONAL,24250,,0,22.00%,N,3,29-12-2024
397,21,16800,MORTGAGE,0,VENTURE,6000,10.39,1,36.00%,N,4,17-10-2025
398,25,115200,RENT,0,HOMEIMPROVEMENT,24250,11.36,0,21.00%,N,2,30-01-2025
399,23,144000,RENT,0,EDUCATION,24250,11.83,0,17.00%,N,3,06-11-2024
400,23,287000,RENT,3,EDUCATION,24250,12.53,0,8.00%,N,3,01-04-2024
401,22,108000,RENT,1,HOMEIMPROVEMENT,24150,14.96,1,22.00%,Y,3,08-07-2025
402,22,43000,RENT,7,DEBTCONSOLIDATION,24000,13.85,1,56.00%,Y,3,11-07-2023
403,23,47004,RENT,1,VENTURE,24000,11.58,1,51.00%,N,4,08-01-2025
404,24,48000,RENT,4,VENTURE,24000,16.29,1,50.00%,Y,2,04-09-2025
405,26,48000,RENT,4,MEDICAL,24000,,1,50.00%,N,3,05-10-2025
406,21,44964,RENT,2,EDUCATION,24000,16.29,1,53.00%,Y,2,06-04-2023
407,25,52000,RENT,,PERSONAL,24000,10.74,1,46.00%,N,2,24-10-2024
408,22,17352,MORTGAGE,,EDUCATION,2250,15.27,0,13.00%,Y,3,06-02-2023
409,24,47000,RENT,3,PERSONAL,24000,17.8,1,51.00%,N,2,06-10-2023
410,22,17400,MORTGAGE,6,VENTURE,1000,11.36,0,6.00%,N,2,05-08-2023
411,22,49000,RENT,2,MEDICAL,24000,17.56,1,49.00%,N,4,16-05-2025
412,26,60000,RENT,0,PERSONAL,24000,7.9,1,40.00%,N,4,22-05-2025
413,25,60000,RENT,3,PERSONAL,24000,10.99,1,40.00%,N,4,03-03-2023
414,22,60000,RENT,0,PERSONAL,24000,7.29,1,40.00%,N,3,18-08-2024
415,21,60000,RENT,5,MEDICAL,24000,10.75,1,40.00%,N,2,29-12-2024
416,26,62004,RENT,9,DEBTCONSOLIDATION,24000,7.9,1,39.00%,N,3,01-02-2024
417,22,62400,RENT,3,EDUCATION,24000,14.84,1,38.00%,N,2,29-11-2024
418,26,65000,RENT,10,DEBTCONSOLIDATION,24000,,1,37.00%,N,2,08-11-2025
419,22,17760,MORTGAGE,6,EDUCATION,4975,,1,28.00%,Y,3,26-06-2023
420,23,59000,RENT,5,DEBTCONSOLIDATION,24000,19.69,1,41.00%,Y,2,31-01-2024
421,23,66000,RENT,6,VENTURE,24000,,1,36.00%,N,4,20-03-2024
422,24,60000,RENT,0,VENTURE,24000,14.96,1,40.00%,N,4,17-03-2023
423,25,66143,RENT,9,EDUCATION,24000,6.99,1,36.00%,N,3,22-09-2023
424,22,62250,RENT,3,PERSONAL,24000,16.45,1,39.00%,Y,4,30-03-2024
425,24,70000,RENT,8,EDUCATION,24000,10.99,1,34.00%,N,4,18-12-2024
426,23,74000,RENT,7,DEBTCONSOLIDATION,24000,10.99,1,32.00%,N,2,04-01-2025
427,22,18000,OWN,3,PERSONAL,3000,7.9,1,17.00%,N,4,30-04-2025
428,22,75000,RENT,6,EDUCATION,24000,12.69,1,32.00%,N,4,24-05-2023
429,24,75000,RENT,9,MEDICAL,24000,10.37,1,32.00%,N,3,03-06-2025
430,24,75000,RENT,7,HOMEIMPROVEMENT,24000,,1,32.00%,N,3,28-12-2025
431,26,69000,RENT,0,DEBTCONSOLIDATION,24000,15.83,1,35.00%,N,3,31-01-2024
432,23,78000,RENT,4,PERSONAL,24000,13.92,1,31.00%,N,3,14-11-2025
433,22,18000,OWN,,VENTURE,2000,11.49,0,11.00%,N,3,05-08-2025
434,24,80000,RENT,2,MEDICAL,24000,10.25,0,30.00%,N,2,09-06-2025
435,22,18000,OWN,1,HOMEIMPROVEMENT,3500,7.49,1,19.00%,N,4,22-07-2024
436,23,18000,OWN,3,EDUCATION,4000,5.99,1,22.00%,N,2,28-11-2025
437,23,74700,RENT,6,PERSONAL,24000,12.92,1,32.00%,N,2,19-04-2023
438,26,88596,RENT,3,PERSONAL,24000,11.58,0,27.00%,N,3,01-12-2025
439,25,95000,RENT,4,EDUCATION,24000,8.9,0,25.00%,N,2,23-07-2025
440,22,83000,RENT,6,DEBTCONSOLIDATION,24000,19.69,1,29.00%,N,3,02-02-2024
441,25,95000,RENT,9,VENTURE,24000,6.54,0,25.00%,N,4,25-09-2024
442,21,18000,OWN,3,HOMEIMPROVEMENT,4900,14.54,1,27.00%,Y,4,02-01-2025
443,21,18000,OWN,,EDUCATION,5000,11.11,1,28.00%,N,2,23-08-2023
444,26,100000,RENT,5,PERSONAL,24000,12.73,0,24.00%,N,4,19-10-2024
445,24,110000,RENT,7,VENTURE,24000,15.62,0,22.00%,N,4,20-01-2025
446,24,18000,OWN,0,HOMEIMPROVEMENT,6250,6.54,1,35.00%,N,4,10-08-2024
447,22,98000,RENT,7,DEBTCONSOLIDATION,24000,,1,24.00%,Y,2,29-10-2025
448,26,103872,RENT,6,DEBTCONSOLIDATION,24000,20.03,1,23.00%,N,4,11-08-2025
449,22,120000,RENT,4,EDUCATION,24000,9.91,0,20.00%,N,4,06-05-2024
450,24,120000,RENT,1,VENTURE,24000,12.69,0,20.00%,N,4,01-07-2025
451,26,108000,RENT,9,EDUCATION,24000,20.16,1,22.00%,N,3,19-06-2023
452,24,124080,RENT,4,PERSONAL,24000,16.49,0,19.00%,Y,4,03-08-2025
453,23,18000,MORTGAGE,1,MEDICAL,2500,15.95,1,14.00%,N,2,05-03-2025
454,24,130000,RENT,7,DEBTCONSOLIDATION,24000,11.49,0,18.00%,N,3,25-09-2024
455,25,135000,RENT,8,PERSONAL,24000,10.99,0,18.00%,N,2,29-01-2023
456,24,135000,RENT,4,HOMEIMPROVEMENT,24000,13.79,0,18.00%,N,2,05-12-2023
457,23,114750,RENT,2,MEDICAL,24000,20.03,1,18.00%,Y,3,14-05-2024
458,23,150000,RENT,0,EDUCATION,24000,7.49,0,16.00%,N,4,25-05-2024
459,23,138000,RENT,7,DEBTCONSOLIDATION,24000,16,1,17.00%,Y,2,05-08-2023
460,24,18000,OWN,6,PERSONAL,13000,7.88,1,72.00%,N,3,29-12-2025
461,21,18000,OWN,0,VENTURE,6250,10.62,1,35.00%,N,4,20-03-2024
462,26,155000,RENT,7,DEBTCONSOLIDATION,24000,10.99,0,15.00%,N,4,25-05-2025
463,26,148000,RENT,1,EDUCATION,24000,18.3,1,16.00%,N,2,16-06-2023
464,26,170000,RENT,3,DEBTCONSOLIDATION,24000,,0,14.00%,Y,2,01-04-2023
465,21,18000,OWN,1,PERSONAL,2500,11.36,0,14.00%,N,3,14-12-2024
466,24,43896,RENT,8,HOMEIMPROVEMENT,23975,,1,55.00%,N,2,08-02-2023
467,23,120000,RENT,4,MEDICAL,23750,13.47,0,20.00%,N,2,22-06-2023
468,24,54996,RENT,2,PERSONAL,23600,11.89,1,43.00%,N,3,14-10-2024
469,24,18000,MORTGAGE,0,DEBTCONSOLIDATION,10000,12.18,1,56.00%,N,2,23-01-2025
470,25,102000,RENT,9,DEBTCONSOLIDATION,23600,13.49,0,23.00%,N,4,17-12-2025
471,23,75000,RENT,3,PERSONAL,23575,14.5,1,31.00%,N,4,20-04-2024
472,22,18000,OWN,2,MEDICAL,4000,,1,22.00%,N,2,31-03-2024
473,22,18000,OWN,1,MEDICAL,5400,15.31,1,30.00%,Y,2,08-04-2025
474,25,18000,MORTGAGE,1,MEDICAL,4000,,1,22.00%,N,3,13-06-2025
475,21,18000,OWN,5,VENTURE,3375,,1,19.00%,N,2,21-10-2025
476,22,66960,RENT,1,VENTURE,23400,7.49,1,35.00%,N,2,22-01-2024
477,22,43385,RENT,7,PERSONAL,23000,,1,53.00%,N,3,14-12-2023
478,25,56544,RENT,3,EDUCATION,23000,,1,41.00%,N,2,09-07-2023
479,23,60000,RENT,2,VENTURE,23000,12.18,1,38.00%,N,4,19-05-2024
480,24,18000,MORTGAGE,3,VENTURE,1200,11.34,0,7.00%,Y,4,03-04-2025
481,25,63208,RENT,9,EDUCATION,23000,9.91,1,36.00%,N,3,17-07-2025
482,24,65000,RENT,0,HOMEIMPROVEMENT,23000,11.99,1,35.00%,N,4,22-07-2025
483,23,68000,RENT,7,EDUCATION,23000,9.62,1,34.00%,N,2,14-05-2023
484,22,18000,OWN,1,DEBTCONSOLIDATION,3000,9.96,1,17.00%,N,3,27-02-2023
485,25,80000,RENT,9,VENTURE,23000,,0,29.00%,N,2,15-11-2024
486,24,88000,RENT,1,VENTURE,23000,14.54,1,26.00%,N,2,02-11-2024
487,22,58600,RENT,5,MEDICAL,22750,11.36,1,39.00%,N,4,22-06-2023
488,23,70000,RENT,7,DEBTCONSOLIDATION,22500,14.27,1,32.00%,N,2,25-03-2025
489,24,18287,OWN,3,HOMEIMPROVEMENT,3000,11.99,1,16.00%,N,3,21-03-2023
490,26,69846,RENT,2,EDUCATION,22500,18.99,1,32.00%,Y,2,04-06-2025
491,24,73000,RENT,0,VENTURE,22400,16.7,1,31.00%,Y,4,22-07-2023
492,24,18500,MORTGAGE,8,PERSONAL,5000,9.32,1,27.00%,N,3,02-02-2025
493,23,35000,RENT,2,DEBTCONSOLIDATION,22250,12.69,1,64.00%,N,3,16-02-2023
494,25,43000,RENT,9,HOMEIMPROVEMENT,22000,13.11,1,51.00%,N,2,17-10-2024
495,25,52000,RENT,4,PERSONAL,22000,10.74,1,42.00%,N,2,15-04-2024
496,21,18701,MORTGAGE,0,PERSONAL,4200,14.11,1,22.00%,Y,4,28-08-2025
